Player Name,Position,Team,Appearances,Minutes Played
Dejan Kulusevski,"MF,FW",Tottenham,30,"2,067"
Layvin Kurzawa,DF,Fulham,3,135
Adam Lallana,"MF,FW",Brighton,16,722
Tariq Lamptey,DF,Brighton,20,453
Manuel Lanzini,"MF,FW",West Ham,10,252
Aymeric Laporte,DF,Manchester City,12,993
Juan Larios,DF,Southampton,5,152
Jamaal Lascelles,DF,Newcastle Utd,7,218
Roméo Lavia,MF,Southampton,29,"2,221"
Dexter Lembikisa,DF,Wolves,1,23
Mario Lemina,MF,Wolves,19,"1,299"
Clément Lenglet,DF,Tottenham,26,"2,019"
Bernd Leno,GK,Fulham,36,"3,240"
Jefferson Lerma,MF,Bournemouth,37,"3,252"
Jamal Lewis,"DF,FW",Newcastle Utd,2,11
Rico Lewis,"DF,MF",Manchester City,14,903
Keane Lewis-Potter,"FW,MF",Brentford,10,321
Victor Lindelöf,DF,Manchester Utd,20,"1,365"
Jesse Lingard,"FW,MF",Nott'ham Forest,17,923
Valentino Livramento,"DF,FW",Southampton,2,28
Diego Llorente,DF,Leeds United,8,649
Hugo Lloris,GK,Tottenham,25,"2,205"
Renan Lodi,DF,Nott'ham Forest,28,"2,214"
Ruben Loftus-Cheek,"MF,DF",Chelsea,25,"1,536"
Sean Longstaff,MF,Newcastle Utd,33,"2,518"
Jamal Lowe,"MF,FW",Bournemouth,2,12
Douglas Luiz,MF,Aston Villa,37,"2,927"
Saša Lukić,MF,Fulham,12,412
Lyanco,DF,Southampton,21,"1,180"
Alexis Mac Allister,MF,Brighton,35,"2,886"
James Maddison,"MF,FW",Leicester City,30,"2,480"
Noni Madueke,FW,Chelsea,12,643
Harry Maguire,DF,Manchester Utd,16,767
Riyad Mahrez,"FW,MF",Manchester City,30,"1,920"
Kobbie Mainoo,MF,Manchester Utd,1,11
Ainsley Maitland-Niles,"DF,MF",Southampton,22,"1,407"
Tyrell Malacia,DF,Manchester Utd,22,"1,396"
Orel Mangala,MF,Nott'ham Forest,27,"1,550"
Javier Manquillo,DF,Newcastle Utd,4,37
Sekou Mara,"FW,MF",Southampton,22,555
Solly March,"FW,DF",Brighton,33,"2,715"
Emiliano Marcondes,MF,Bournemouth,1,9
Marquinhos,MF,Arsenal,1,1
Anthony Martial,FW,Manchester Utd,21,978
Martinelli,FW,Arsenal,36,"2,789"
Emiliano Martínez,GK,Aston Villa,36,"3,139"
Lisandro Martínez,DF,Manchester Utd,27,"2,114"
Pape Matar Sarr,"MF,FW",Tottenham,11,218
Jean-Philippe Mateta,FW,Crystal Palace,29,770
Joël Matip,DF,Liverpool,14,"1,092"
Neal Maupay,FW,Everton,27,"1,118"
Kevin Mbabu,"DF,FW",Fulham,6,144
Bryan Mbeumo,FW,Brentford,38,"2,906"
James McArthur,MF,Crystal Palace,4,54
Alex McCarthy,GK,Southampton,6,540
John McGinn,"MF,FW",Aston Villa,34,"2,693"
Scott McKenna,DF,Nott'ham Forest,20,"1,571"
Weston McKennie,MF,Leeds United,19,"1,437"
Dwight McNeil,"FW,MF",Everton,36,"2,498"
Scott McTominay,MF,Manchester Utd,24,"1,160"
Ben Mee,DF,Brentford,37,"3,269"
Edouard Mendy,GK,Chelsea,10,855
Nampalys Mendy,MF,Leicester City,19,757
Chris Mepham,DF,Bournemouth,26,"2,199"
Illan Meslier,GK,Leeds United,34,"3,060"
Alexander Mighten,FW,Nott'ham Forest,1,8
Lewis Miley,MF,Newcastle Utd,1,15
Luka Milivojević,MF,Crystal Palace,18,512
James Milner,"MF,DF",Liverpool,31,913
Yerry Mina,DF,Everton,7,594
Tyrone Mings,DF,Aston Villa,35,"3,150"
Tyrick Mitchell,DF,Crystal Palace,36,"2,891"
Kaoru Mitoma,"FW,MF",Brighton,33,"2,318"
Aleksandar Mitrović,FW,Fulham,24,"2,008"
Kieffer Moore,FW,Bournemouth,27,"1,279"
Andrew Moran,FW,Brighton,1,12
Álex Moreno,DF,Aston Villa,19,"1,329"
Mason Mount,"MF,FW",Chelsea,24,"1,648"
Lucas Moura,"MF,DF",Tottenham,15,153
João Moutinho,MF,Wolves,31,"1,780"
Divin Mubama,FW,West Ham,3,38
Mykhailo Mudryk,"FW,MF",Chelsea,15,657
Jacob Murphy,FW,Newcastle Utd,36,"1,251"
Enock Mwepu,"FW,MF",Brighton,6,213
Vitaliy Mykolenko,DF,Everton,34,"2,655"
Keylor Navas,GK,Nott'ham Forest,17,"1,529"
Wilfred Ndidi,MF,Leicester City,27,"1,679"
Reiss Nelson,FW,Arsenal,11,212
Neto,GK,Bournemouth,27,"2,385"
Pedro Neto,"FW,MF",Wolves,18,964
Rúben Neves,MF,Wolves,35,"3,019"
Moussa Niakhate,DF,Nott'ham Forest,14,"1,163"
Rasmus Nissen,DF,Leeds United,26,"1,960"
Eddie Nketiah,FW,Arsenal,30,"1,089"
Matheus Nunes,MF,Wolves,34,"2,467"
Darwin Núñez,FW,Liverpool,29,"1,695"
Ethan Nwaneri,FW,Arsenal,1,1
Christian Nørgaard,MF,Brentford,22,"1,763"
Lewis O'Brien,MF,Nott'ham Forest,13,584
Odeluga Offiah,DF,Brighton,2,25
Angelo Ogbonna,DF,West Ham,16,"1,237"
Michael Olise,"FW,MF",Crystal Palace,37,"2,749"
Robin Olsen,GK,Aston Villa,4,281
Amadou Onana,MF,Everton,33,"2,488"
Josh Onomah,MF,Fulham,2,15
Paul Onuachu,FW,Southampton,11,407
Frank Onyeka,MF,Brentford,21,848
Mislav Oršić,MF,Southampton,1,7
Stefan Ortega,GK,Manchester City,3,270
Dango Ouattara,"MF,FW",Bournemouth,19,"1,241"
Alex Oxlade-Chamberlain,"FW,MF",Liverpool,9,335
David Ozoh,FW,Crystal Palace,1,1
João Palhinha,MF,Fulham,35,"3,108"
Cole Palmer,"MF,FW",Manchester City,14,370
Emerson Palmieri,DF,West Ham,22,"1,320"
Lucas Paquetá,MF,West Ham,28,"2,151"
Thomas Partey,MF,Arsenal,33,"2,483"
Nathan Patterson,"DF,MF",Everton,19,"1,279"
Ben Pearson,MF,Bournemouth,7,286
Facundo Pellistri,"FW,MF",Manchester Utd,4,64
Andreas Pereira,MF,Fulham,33,"2,692"
Ricardo Pereira,"DF,MF",Leicester City,10,454
Ayoze Pérez,"MF,FW",Leicester City,8,382
Ivan Perišić,"DF,MF",Tottenham,34,"2,108"
Romain Perraud,DF,Southampton,29,"1,835"
Máximo Perrone,MF,Manchester City,1,19
Cameron Peupion,MF,Brighton,1,6
Kalvin Phillips,MF,Manchester City,12,300
Nathaniel Phillips,DF,Liverpool,2,66
Jordan Pickford,GK,Everton,37,"3,330"
Ethan Pinnock,DF,Brentford,30,"2,700"
Daniel Podence,"FW,MF",Wolves,32,"1,771"
Nick Pope,GK,Newcastle Utd,37,"3,261"
Pedro Porro,"DF,MF",Tottenham,15,"1,131"
Dennis Praet,"MF,FW",Leicester City,22,649
Isaac Price,MF,Everton,1,33
Christian Pulisic,"FW,DF",Chelsea,24,821
Aaron Ramsdale,GK,Arsenal,38,"3,420"
Jacob Ramsey,"MF,FW",Aston Villa,35,"2,636"
Marcus Rashford,FW,Manchester Utd,35,"2,879"
David Raya,GK,Brentford,38,"3,420"
Tim Ream,DF,Fulham,33,"2,897"
Nathan Redmond,DF,Southampton,1,1
Harrison Reed,MF,Fulham,37,"2,866"
Bobby Reid,"FW,DF",Fulham,36,"2,475"
Declan Rice,MF,West Ham,37,"3,273"
Chris Richards,DF,Crystal Palace,9,447
Richarlison,"MF,FW",Tottenham,27,"1,010"
Jaïro Riedewald,"DF,MF",Crystal Palace,6,64
Matt Ritchie,"FW,MF",Newcastle Utd,7,39
Andrew Robertson,DF,Liverpool,34,"2,583"
Antonee Robinson,DF,Fulham,35,"3,088"
Joel Robles,GK,Leeds United,4,360
Marc Roca,MF,Leeds United,32,"2,315"
Marek Rodák,GK,Fulham,2,180
Rodri,MF,Manchester City,36,"2,911"
Rodrigo,"FW,MF",Leeds United,31,"1,935"
Mads Roerslev,DF,Brentford,20,"1,108"
Cristian Romero,DF,Tottenham,27,"2,364"
Oriol Romeu,MF,Southampton,1,74
Cristiano Ronaldo,FW,Manchester Utd,10,525
Connor Ronan,MF,Wolves,1,1
Salomón Rondón,FW,Everton,7,109
Joe Rothwell,MF,Bournemouth,20,"1,016"
Georginio Rutter,"FW,MF",Leeds United,11,273
José Sá,GK,Wolves,36,"3,240"
Marcel Sabitzer,MF,Manchester Utd,11,627
Allan Saint-Maximin,FW,Newcastle Utd,25,"1,120"
Bukayo Saka,FW,Arsenal,38,"3,181"
Mohamed Salah,FW,Liverpool,38,"3,290"
William Saliba,DF,Arsenal,27,"2,415"
Mohammed Salisu,DF,Southampton,22,"1,973"
Albert Sambi Lokonga,MF,Arsenal,6,198
Albert Sambi Lokonga,MF,Crystal Palace,9,536
Davinson Sánchez,DF,Tottenham,18,858
Robert Sánchez,GK,Brighton,23,"2,070"
Jadon Sancho,"FW,MF",Manchester Utd,26,"1,686"
Morgan Sanson,MF,Aston Villa,2,11
Pablo Sarabia,"FW,MF",Wolves,13,765
Jeremy Sarmiento,MF,Brighton,9,176
Gianluca Scamacca,FW,West Ham,16,926
Gustavo Scarpa,"MF,FW",Nott'ham Forest,6,181
Kevin Schade,FW,Brentford,18,732
Fabian Schär,DF,Newcastle Utd,36,"3,206"
Jeffrey Schlupp,"MF,FW",Crystal Palace,34,"2,531"
Nélson Semedo,DF,Wolves,36,"2,632"
Antoine Semenyo,"FW,MF",Bournemouth,11,258
Marcos Senesi,DF,Bournemouth,31,"2,491"
Ryan Sessegnon,DF,Tottenham,17,813
Luke Shaw,DF,Manchester Utd,31,"2,552"
Jonjo Shelvey,MF,Newcastle Utd,3,37
Jonjo Shelvey,MF,Nott'ham Forest,8,540
Bernardo Silva,"MF,FW",Manchester City,34,"2,205"
Thiago Silva,DF,Chelsea,27,"2,352"
Ellis Simms,FW,Everton,11,228
Luis Sinisterra,FW,Leeds United,19,867
Oliver Skipp,MF,Tottenham,23,"1,491"
Adam Smith,DF,Bournemouth,37,"2,943"
Emile Smith Rowe,"MF,FW",Arsenal,12,172
Cédric Soares,DF,Arsenal,2,29
Cédric Soares,DF,Fulham,6,198
Dominic Solanke,"FW,MF",Bournemouth,33,"2,860"
Manor Solomon,FW,Fulham,19,572
Tomáš Souček,MF,West Ham,36,"2,815"
Boubakary Soumaré,MF,Leicester City,26,"1,629"
Harry Souttar,DF,Leicester City,12,992
Çağlar Söyüncü,DF,Leicester City,7,529
Djed Spence,"FW,DF",Tottenham,4,7
Jack Stacey,DF,Bournemouth,10,299
Junior Stanislas,MF,Bournemouth,4,61
Jay Stansfield,FW,Fulham,3,87
Jason Steele,GK,Brighton,15,"1,350"
Jack Stephens,DF,Southampton,2,46
Jack Stephens,DF,Bournemouth,15,"1,173"
Raheem Sterling,"FW,MF",Chelsea,28,"1,891"
John Stones,"DF,MF",Manchester City,23,"1,846"
Pascal Struijk,DF,Leeds United,29,"2,200"
Kamaldeen Sulemana,"FW,MF",Southampton,18,966
Crysencio Summerville,FW,Leeds United,28,"1,426"
Sam Surridge,FW,Nott'ham Forest,20,323
Japhet Tanganga,DF,Tottenham,4,146
Matt Targett,DF,Newcastle Utd,17,610
James Tarkowski,DF,Everton,38,"3,420"
Marcus Tavernier,"MF,FW",Bournemouth,23,"1,743"
Tetê,FW,Leicester City,13,734
Kenny Tete,DF,Fulham,31,"2,569"
Luke Thomas,DF,Leicester City,17,"1,073"
Youri Tielemans,MF,Leicester City,31,"2,344"
Kieran Tierney,DF,Arsenal,27,795
Harry Toffolo,DF,Nott'ham Forest,19,940
Takehiro Tomiyasu,DF,Arsenal,21,663
James Tomkins,DF,Crystal Palace,6,338
Ivan Toney,FW,Brentford,33,"2,951"
Adama Traoré,"FW,MF",Wolves,34,"1,496"
Bertrand Traoré,"FW,MF",Aston Villa,8,233
Boubacar Traoré,MF,Wolves,10,411
Mark Travers,GK,Bournemouth,12,"1,035"
Kieran Trippier,DF,Newcastle Utd,38,"3,341"
Leandro Trossard,FW,Arsenal,20,931
Leandro Trossard,"FW,MF",Brighton,16,"1,315"
Kostas Tsimikas,DF,Liverpool,20,771
Deniz Undav,"FW,MF",Brighton,22,628
Yan Valery,DF,Southampton,1,45
Virgil van Dijk,DF,Liverpool,32,"2,835"
Raphaël Varane,DF,Manchester Utd,24,"1,911"
Jamie Vardy,FW,Leicester City,37,"1,857"
Joël Veltman,DF,Brighton,31,"2,188"
Fabio Vieira,"MF,FW",Arsenal,22,514
Matías Viña,DF,Bournemouth,12,458
Rúben Vinagre,"DF,MF",Everton,2,26
Carlos Vinícius,FW,Fulham,28,"1,109"
Theo Walcott,"FW,MF",Southampton,20,"1,129"
Kyle Walker,DF,Manchester City,27,"1,958"
Kyle Walker-Peters,DF,Southampton,31,"2,650"
Aaron Wan-Bissaka,DF,Manchester Utd,19,"1,435"
Danny Ward,GK,Leicester City,26,"2,340"
Joel Ward,DF,Crystal Palace,28,"2,256"
James Ward-Prowse,MF,Southampton,38,"3,371"
Ollie Watkins,FW,Aston Villa,37,"3,127"
Adam Webster,DF,Brighton,27,"1,985"
Wout Weghorst,"FW,MF",Manchester Utd,17,797
Danny Welbeck,FW,Brighton,31,"1,854"
Ben White,DF,Arsenal,38,"3,055"
Harvey White,MF,Tottenham,1,5
Joseph Whitworth,GK,Crystal Palace,2,180
Neco Williams,DF,Nott'ham Forest,31,"1,882"
Willian,FW,Fulham,27,"2,126"
Joe Willock,MF,Newcastle Utd,35,"2,558"
Callum Wilson,FW,Newcastle Utd,31,"1,877"
Harry Wilson,FW,Fulham,29,"1,100"
Yoane Wissa,FW,Brentford,38,"1,606"
Maximilian Wöber,DF,Leeds United,16,"1,266"
Chris Wood,FW,Newcastle Utd,18,446
Chris Wood,FW,Nott'ham Forest,7,372
Joe Worrall,DF,Nott'ham Forest,30,"2,224"
Granit Xhaka,MF,Arsenal,37,"2,993"
Ryan Yates,MF,Nott'ham Forest,26,"1,837"
Ashley Young,DF,Aston Villa,29,"2,036"
Illia Zabarnyi,DF,Bournemouth,5,299
Wilfried Zaha,"FW,MF",Crystal Palace,27,"2,288"
Denis Zakaria,MF,Chelsea,7,411
Jordan Zemura,DF,Bournemouth,19,"1,454"
Oleksandr Zinchenko,DF,Arsenal,27,"2,118"
Hakim Ziyech,"FW,MF",Chelsea,18,661
Kurt Zouma,DF,West Ham,25,"1,989"
Martin Ødegaard,MF,Arsenal,37,"3,127"
